# Candidates extracted from the research-bot-prototype source lists (GenAI in higher education).
# URL | tags | classification keys
http://rss.arxiv.org/rss/cs.CY | genai in education, research, preprint, research methods, ai ethics, education applications | lcc:LB, lcc:QA
https://www.insidehighered.com/rss/artificial-intelligence | genai in education, practice, editorial, us he news, ai coverage, sector news | lcc:LB
https://darcynorman.net/feed/ | genai in education, practice, editorial expert, vibe coding, lti prototyping, claude code | lcc:LB
https://er.educause.edu/feed | genai in education, policy, stance: adoption-positive, institutional, us higher ed it, institutional adoption, vendor adjacent | lcc:L, lcc:QA
https://nationalcentreforai.jiscinvolve.org/wp/feed/ | genai in education, policy, stance: neutral, institutional, uk policy, accessibility, assessment | lcc:L, lcc:QA
https://www.iesalc.unesco.org/en/feed/ | genai in education, policy, stance: neutral, institutional, global policy, equity, access | lcc:L, lcc:QA
https://www.jisc.ac.uk/rss | genai in education, policy, stance: neutral, institutional, uk digital infrastructure, practice | lcc:L, lcc:QA
https://www.unesco.org/en/digital-education/artificial-intelligence/rss.xml | genai in education, policy, stance: neutral, institutional, global policy, equity, international he | lcc:L, lcc:QA
https://bccampus.ca/feed/ | genai in education, policy, stance: neutral, institutional, bc he, open education, digital learning strategy | lcc:L, lcc:QA
https://www.timeshighereducation.com/rss | genai in education, policy, editorial, global he news, uk context, sector news | lcc:L, lcc:QA
https://internet2.edu/feed/ | genai in education, policy, stance: institutional, institutional, research and education networking, ai services, federated identity | lcc:L, lcc:QA
https://academica.ca/feed | genai in education, canada, stance: neutral, aggregator, canadian he, announcements, policy shifts | lcc:L
https://www.universityaffairs.ca/feed/ | genai in education, canada, editorial, canadian he, faculty perspective, academic labour, language: en-fr | lcc:L
https://higheredstrategy.com/feed/ | genai in education, canada, editorial expert, canadian he policy, economics of ed, pragmatic analysis | lcc:L
https://downes.ca/news/OLDaily.xml | genai in education, canada, stance: critical, editorial expert, open education, oer curation, daily aggregator | lcc:L
https://www.edcan.ca/feed/ | genai in education, canada, stance: neutral, institutional, canadian ed policy, k12 and he, sector commentary | lcc:L
https://feeds.buzzsprout.com/2126417.rss | genai in education, community, stance: critical, editorial expert, ai critique, linguistics, hype analysis, podcast | lcc:LB
https://www.cafepedagogique.net/feed/ | genai in education, non-english, editorial, french ed policy, european he, ai in french schools, language: fr | lcc:LB
https://www.wheresyoured.at/rss | genai in education, community | lcc:LB
https://genai.ubc.ca/rss | genai in education, community | lcc:LB
https://aieducation.trubox.ca/feed/ | genai in education, practice | lcc:LB
https://horaizon.trubox.ca/feed | genai in education, policy | lcc:L, lcc:QA
https://creativecommons.org/feed | genai in education, policy, stance: institutional, institutional | lcc:L, lcc:QA
https://nieuweinstituut.nl/en/projects/api/rss-en.xml | genai in education, practice | lcc:LB
https://www.uapress.ua.edu/feed/ | genai in education, practice | lcc:LB
https://networkcultures.org/feed/ | genai in education, practice | lcc:LB
https://doi.org/10.4000/backend?format=rssnumeros | genai in education, practice | lcc:LB
https://culturemachine.net/feed/ | genai in education, practice | lcc:LB
https://spheres-journal.org/feed/ | genai in education, research | lcc:LB, lcc:QA
https://logicmag.io/rss.xml | genai in education, research | lcc:LB, lcc:QA
http://computationalculture.net/feed/ | genai in education, research | lcc:LB, lcc:QA
https://ijoc.org/index.php/ijoc/gateway/plugin/WebFeedGatewayPlugin/atom | genai in education, research | lcc:LB, lcc:QA
https://journals.law.harvard.edu/ilj/feed/ | genai in education, research | lcc:LB, lcc:QA
https://sabbaticast.brennaclarkegray.ca/feed/ | genai in education, research | lcc:LB, lcc:QA
https://bionicteaching.com/feed/ | genai in education, practice | lcc:LB
https://futurecampus.com.au/feed/ | genai in education, practice | lcc:LB
https://simonw.substack.com/feed | genai in education, practice | lcc:LB
https://deadline.com/feed/rss/ | genai in education, practice | lcc:LB
https://undark.org/feed/ | genai in education, practice | lcc:LB
https://douglevin.substack.com/feed | genai in education, practice | lcc:LB
https://futurism.com/feed | genai in education, practice | lcc:LB
https://www.wired.com/feed/rss | genai in education, practice | lcc:LB
https://detaresearch.org/feed/ | genai in education, practice | lcc:LB
https://aieducation.substack.com/feed | genai in education, practice | lcc:LB
https://www.therobotreport.com/feed/ | genai in education, practice | lcc:LB
https://keenon.substack.com/feed | genai in education, practice | lcc:LB
https://simonwillison.net/atom/everything/ | genai in education, practice | lcc:LB
https://404.feed.press/private?key=7999cfac1b01e071e218bd8be04ed445 | genai in education, practice | lcc:LB
https://www.solaresearch.org/feed/ | genai in education, practice | lcc:LB
https://www.luizasnewsletter.com/feed | genai in education, practice | lcc:LB
https://datasociety.net/feed/ | genai in education, practice | lcc:LB
https://diamantai.substack.com/feed | genai in education, practice | lcc:LB
https://blog.n8n.io/rss/ | genai in education, practice | lcc:LB
https://www.exponentialview.co/feed | genai in education, practice | lcc:LB
https://developers.openai.com/rss.xml | genai in education, practice | lcc:LB
https://cognition.ai/rss.xml | genai in education, practice | lcc:LB
https://er.educause.edu/rss | genai in education, practice | lcc:LB
https://rss.arxiv.org/rss/cs.CY | genai in education, research | lcc:LB, lcc:QA
